timestamp,cairo_time,signal,symbol,quantity,price,value,fee,status,order_id,rsi,macd_trend,sentiment,balance_before,balance_after,profit_loss
2025-09-22 09:51:27 EEST,2025-09-22 09:51:29 EEST,SELL,ETHUSDT,0.0024,4189.76,10.055424,7.38e-06,success,35995931699,36.629573822021484,BULLISH,neutral,0,108.7884421894,8.788442189400001
2025-09-22 09:35:24 EEST,2025-09-22 09:35:26 EEST,SELL,ETHUSDT,0.0024,4194.17,10.066008,7.41e-06,success,35995217035,34.515403747558594,BEARISH,neutral,0,108.734385941,8.734385941
2025-09-22 03:39:30 EEST,2025-09-22 03:39:32 EEST,BUY,ETHUSDT,0.0023,4361.15,10.030645,7.26e-06,success,35980708639,12.984710693359375,BEARISH,neutral,0,111.88861036,11.888610360000001
2025-09-22 02:50:47 EEST,2025-09-22 02:50:49 EEST,SELL,BNBUSDT,0.009,1048.54,9.43686,6.74e-06,success,9017995293,48.90822219848633,BEARISH,neutral,0,113.56927884960001,13.56927884960001
2025-09-21 06:27:24 EEST,2025-09-21 06:27:26 EEST,BUY,BNBUSDT,0.009,1073.82,9.66438,6.75e-06,success,9006987887,62.54401779174805,BEARISH,neutral,0,6.10788693,0
2025-09-21 05:56:28 EEST,2025-09-21 05:56:30 EEST,BUY,BNBUSDT,0.009,1075.4,9.6786,6.75e-06,success,9006609846,66.51007080078125,BEARISH,neutral,0,15.77226693,0
2025-09-21 05:25:26 EEST,2025-09-21 05:25:28 EEST,SELL,BNBUSDT,0.009,1078.82,9.70938,6.75e-06,success,9006098537,75.44096374511719,BULLISH,neutral,0,25.45086693,0
2025-09-21 04:54:32 EEST,2025-09-21 04:54:33 EEST,SELL,BNBUSDT,0.009,1069.54,9.62586,6.75e-06,success,9005083162,74.39810943603516,BULLISH,neutral,0,15.74148693,0
2025-09-14 07:21:05 EEST,2025-09-14 07:21:06 EEST,BUY,BNBUSDT,0.01,928.17,9.2817,7.5e-06,success,8934821673,29.452110290527344,BEARISH,neutral,0,8.69253653,0
2025-09-14 04:45:00 EEST,2025-09-14 04:45:02 EEST,SELL,LINKUSDT,0.41,24.77,10.1557,8.13e-06,success,7182398414,46.885520935058594,BEARISH,neutral,0,17.97423653,4.066516376249999
2025-09-13 14:10:24 EEST,2025-09-13 14:10:27 EEST,BUY,BNBUSDT,0.01,938.5,9.385,7.5e-06,success,8928871347,59.30010986328125,BEARISH,neutral,0,7.81853653,0
2025-09-13 13:07:55 EEST,2025-09-13 13:07:56 EEST,BUY,ETHUSDT,0.0021,4730.89,9.934869,7.92e-06,success,35709693905,60.358001708984375,BULLISH,neutral,0,17.20353653,0
2025-09-13 12:36:43 EEST,2025-09-13 12:36:43 EEST,SELL_PARTIAL,AVAXUSDT,0.33,30.65,10.1145,8.13e-06,SUCCESS,4977246482,0,,,0,0,0
2025-09-13 11:02:36 EEST,2025-09-13 11:02:37 EEST,BUY,AVAXUSDT,0.33,30.87,10.1871,8.25e-06,success,4977033874,51.73664093017578,BEARISH,neutral,0,17.02390553,0
2025-09-13 06:52:42 EEST,2025-09-13 06:52:44 EEST,SELL,ETHUSDT,0.0021,4754.5,9.98445,8.05e-06,success,35703136413,75.65851593017578,BULLISH,neutral,0,27.21100553,9.953192770500001
2025-09-13 06:21:31 EEST,2025-09-13 06:21:31 EEST,SELL_PARTIAL,AVAXUSDT,0.34,29.79,10.1286,8.17e-06,SUCCESS,4975670641,0,,,0,0,0
2025-09-13 06:21:22 EEST,2025-09-13 06:21:24 EEST,BUY,ETHUSDT,0.0021,4726.28,9.925188,8.000000000000001e-06,success,35701961923,65.95728302001953,BULLISH,neutral,0,7.09795553,0
2025-09-13 05:50:09 EEST,2025-09-13 05:50:10 EEST,SELL,ETHUSDT,0.0021,4700.48,9.871008,7.97e-06,success,35701318258,46.456443786621094,BEARISH,neutral,0,17.02314353,9.83766790356
2025-09-13 00:37:27 EEST,2025-09-13 00:37:29 EEST,BUY,ETHUSDT,0.0021,4652.08,9.769368,7.93e-06,success,35691896850,51.61839294433594,BEARISH,neutral,0,7.15213553,0
2025-09-13 00:06:05 EEST,2025-09-13 00:06:07 EEST,BUY,ETHUSDT,0.0021,4661.83,9.789843,7.94e-06,success,35691186941,59.628631591796875,BEARISH,neutral,0,16.92150353,0
2025-09-12 23:34:48 EEST,2025-09-12 23:34:50 EEST,BUY,ETHUSDT,0.0021,4649.68,9.764328,7.91e-06,success,35689716688,62.88447189331055,BEARISH,neutral,0,26.71134653,0
2025-09-12 23:03:34 EEST,2025-09-12 23:03:34 EEST,SELL_PARTIAL,ETHUSDT,0.0022,4643.42,10.215524,8.29e-06,SUCCESS,35688792187,0,,,0,0,0
2025-09-12 23:03:28 EEST,2025-09-12 23:03:29 EEST,BUY,ETHUSDT,0.0021,4643.43,9.751203,7.91e-06,success,35688791399,63.192955017089844,BULLISH,neutral,0,26.26015053,0
2025-09-12 20:59:01 EEST,2025-09-12 20:59:01 EEST,SELL_PARTIAL,SOLUSDT,0.042,239.99,10.07958,8.22e-06,SUCCESS,14069532002,0,,,0,0,0
2025-09-12 20:58:54 EEST,2025-09-12 20:58:54 EEST,SELL_PARTIAL,ETHUSDT,0.0022,4613.95,10.15069,8.29e-06,SUCCESS,35684504592,0,,,0,0,0
2025-09-12 20:27:40 EEST,2025-09-12 20:27:42 EEST,BUY,SOLUSDT,0.042,239.7,10.0674,8.3e-06,success,14069035061,57.27369689941406,BULLISH,neutral,0,15.78108353,0
2025-09-12 19:56:26 EEST,2025-09-12 19:56:26 EEST,SELL_PARTIAL,ETHUSDT,0.0022,4571.87,10.058114,8.29e-06,SUCCESS,35681490120,0,,,0,0,0
2025-09-12 18:53:43 EEST,2025-09-12 18:53:43 EEST,SELL_PARTIAL,ETHUSDT,0.0022,4545.77,10.000694,8.25e-06,SUCCESS,35679286478,0,,,0,0,0
2025-09-12 15:14:46 EEST,2025-09-12 15:14:48 EEST,BUY,AVAXUSDT,0.36,28.31,10.1916,8.43e-06,success,4973631468,29.81341552734375,BEARISH,neutral,0,5.78967553,0
2025-09-12 14:43:36 EEST,2025-09-12 14:43:36 EEST,SELL_PARTIAL,SOLUSDT,0.042,239.07,10.04094,8.31e-06,SUCCESS,14064134271,0,,,0,0,0
2025-09-12 14:12:18 EEST,2025-09-12 14:12:20 EEST,BUY,SOLUSDT,0.042,239.25,10.0485,8.3e-06,success,14063888546,64.57939147949219,BULLISH,neutral,0,5.94033553,0
2025-09-12 13:41:06 EEST,2025-09-12 13:41:06 EEST,SELL_PARTIAL,SOLUSDT,0.042,238.51,10.01742,8.28e-06,SUCCESS,14063638762,0,,,0,0,0
2025-09-12 11:36:08 EEST,2025-09-12 11:36:10 EEST,BUY,SOLUSDT,0.042,238.07,9.99894,8.29e-06,success,14062564426,56.0706901550293,BULLISH,neutral,0,5.97141553,0
2025-09-12 11:05:11 EEST,2025-09-12 11:05:13 EEST,SELL,SOLUSDT,0.043,237.17,10.19831,8.45e-06,success,14062227691,41.55684280395508,BEARISH,neutral,0,15.97035553,0
2025-09-11 09:36:48 EEST,2025-09-11 09:36:50 EEST,BUY,ETHUSDT,0.0023,4429.67,10.188241,8.52e-06,success,35617479437,67.06095123291016,BULLISH,neutral,0,5.77204553,0
2025-09-11 09:05:33 EEST,2025-09-11 09:05:35 EEST,BUY,BTCUSDT,8e-05,0,0,0,api_error,,47.62725067138672,BEARISH,neutral,0,0,0
2025-09-11 08:34:19 EEST,2025-09-11 08:34:21 EEST,BUY,BTCUSDT,8e-05,0,0,0,api_error,,56.26567077636719,BEARISH,neutral,0,0,0
2025-09-11 07:31:59 EEST,2025-09-11 07:32:01 EEST,BUY,ETHUSDT,0.0023,4411.05,10.145415,8.5e-06,success,35614476404,67.47245788574219,BULLISH,neutral,0,15.96028653,0
2025-09-11 07:00:45 EEST,2025-09-11 07:00:47 EEST,SELL,AVAXUSDT,0.34,29.4,9.996,8.37e-06,success,4969367944,71.35053253173828,BULLISH,neutral,0,26.10570153,5.2263916
2025-09-11 06:29:31 EEST,2025-09-11 06:29:33 EEST,BUY,AVAXUSDT,0.34,29.2,9.928,8.34e-06,success,4969272399,65.02461242675781,BULLISH,neutral,0,16.10970153,0
2025-09-11 03:53:27 EEST,2025-09-11 03:53:29 EEST,SELL,AVAXUSDT,0.35,29.1,10.185,8.57e-06,success,4968961121,44.1241569519043,BEARISH,neutral,0,26.03770153,4.916336250000001
2025-09-11 02:51:11 EEST,2025-09-11 02:51:11 EEST,SELL_PARTIAL,AVAXUSDT,0.32,29.34,9.3888,7.87e-06,SUCCESS,4968772506,0,,,0,0,0
2025-09-11 02:19:55 EEST,2025-09-11 02:19:57 EEST,BUY,AVAXUSDT,0.34,29.35,9.979,8.35e-06,success,4968671525,66.64949798583984,BULLISH,neutral,0,6.46390153,0
2025-09-11 01:48:46 EEST,2025-09-11 01:48:46 EEST,SELL_PARTIAL,AVAXUSDT,0.31,29.17,9.0427,7.57e-06,SUCCESS,4968589188,0,,,0,0,0
2025-09-11 01:48:38 EEST,2025-09-11 01:48:40 EEST,BUY,AVAXUSDT,0.34,29.17,9.9178,8.31e-06,success,4968588922,60.76567459106445,BEARISH,neutral,0,7.40020153,0
2025-09-11 01:17:29 EEST,2025-09-11 01:17:31 EEST,BUY,AVAXUSDT,0.35,29.1,10.185,8.55e-06,success,4968508977,57.45321273803711,BEARISH,neutral,0,17.31800153,0
2025-09-11 00:46:10 EEST,2025-09-11 00:46:11 EEST,SELL,AVAXUSDT,0.34,29.37,9.9858,8.4e-06,success,4968399384,78.32178497314453,BULLISH,neutral,0,27.50300153,4.863445
2025-09-10 23:43:49 EEST,2025-09-10 23:43:49 EEST,SELL_PARTIAL,AVAXUSDT,0.28,28.68,8.0304,6.75e-06,SUCCESS,4968221703,0,,,0,0,0
2025-09-10 22:10:46 EEST,2025-09-10 22:10:48 EEST,BUY,AVAXUSDT,0.35,28.68,10.038,8.42e-06,success,4967967402,48.79055404663086,BULLISH,neutral,0,9.48680153,0
2025-09-10 20:05:42 EEST,2025-09-10 20:05:43 EEST,BUY,AVAXUSDT,0.35,29.07,10.1745,8.5e-06,success,4967550123,66.72608947753906,BULLISH,neutral,0,19.52480153,0
2025-09-10 17:29:17 EEST,2025-09-10 17:29:17 EEST,SELL_PARTIAL,AVAXUSDT,0.27,28.44,7.6788,6.39e-06,SUCCESS,4966663619,0,,,0,0,0
2025-09-10 17:29:10 EEST,2025-09-10 17:29:10 EEST,SELL_PARTIAL,SOLUSDT,0.042,223.24,9.37608,7.8e-06,SUCCESS,14031595727,0,,,0,0,0
2025-09-10 16:57:44 EEST,2025-09-10 16:57:46 EEST,BUY,AVAXUSDT,0.35,28.34,9.919,8.22e-06,success,4966502661,65.01834869384766,BEARISH,neutral,0,0.98402153,0
2025-09-10 15:24:53 EEST,2025-09-10 15:24:54 EEST,SELL,ETHUSDT,0.0023,4344.91,9.993293,8.43e-06,success,35584898667,71.5625991821289,BULLISH,neutral,0,10.90302153,0
2025-09-10 07:57:51 EEST,2025-09-10 07:57:53 EEST,SELL,AVAXUSDT,0.18,0,0,0,filter_failure,,71.0562515258789,BULLISH,neutral,0,0,0
2025-09-10 01:13:02 EEST,2025-09-10 01:13:03 EEST,SELL,LINKUSDT,0.21,0,0,0,filter_failure,,53.254364013671875,BEARISH,neutral,0,0,0
2025-09-09 17:56:54 EEST,2025-09-09 17:56:55 EEST,SELL,SOLUSDT,0.023,0,0,0,filter_failure,,43.893924713134766,BEARISH,neutral,0,0,0
2025-09-08 13:51:44 EEST,2025-09-08 13:51:45 EEST,SELL,AVAXUSDT,0.19,0,0,0,filter_failure,,70.49887085,BEARISH,neutral,0,0,0
2025-09-08 13:20:32 EEST,2025-09-08 13:20:34 EEST,BUY,AVAXUSDT,0.39,25.33,9.8787,8.45E-06,success,4958325014,68.11238098,BULLISH,neutral,0,3.41859053,0
2025-09-08 11:47:29 EEST,2025-09-08 11:47:31 EEST,BUY,ETHUSDT,0.0023,4296.1,9.88103,8.48E-06,success,35508034705,51.009552,BULLISH,neutral,0,5.23009053,0
2025-09-06 21:41:42 EEST,2025-09-06 21:41:43 EEST,BUY,DOTUSDT,2.65,3.807,10.08855,8.79E-06,success,5707011619,55.31028366,BULLISH,neutral,0,3.85174053,0
2025-09-06 21:10:30 EEST,2025-09-06 21:10:30 EEST,SELL,DOTUSDT,1.29,0,0,0,filter_failure,,51.93198013,BULLISH,neutral,0,0,0
2025-09-06 19:36:39 EEST,2025-09-06 19:36:39 EEST,DUST_CONVERSION,DUST_TO_BNB,1,0,0.00032601,0,SUCCESS,,0,,,0,0,0
2025-09-06 19:36:26 EEST,2025-09-06 19:36:27 EEST,SELL,XRPUSDT,3.5,2.8057,9.81995,8.55E-06,success,12279313970,47.26387405,BULLISH,neutral,0,13.94029053,-24.78297413
2025-09-06 17:31:20 EEST,2025-09-06 17:31:21 EEST,SELL,BNBUSDT,0.00168756,0,0,0,filter_failure,,46.96057892,BEARISH,neutral,0,0,0
2025-09-06 10:44:26 EEST,2025-09-06 10:44:27 EEST,BUY,ETHUSDT,0.0023,4309.33,9.911459,8.64E-06,success,35454607060,58.90503693,BULLISH,neutral,0,4.12034053,0
2025-09-06 10:13:05 EEST,2025-09-06 10:13:06 EEST,SELL,ETHUSDT,0.0023,4306.86,9.905778,8.65E-06,success,35454246759,56.42468643,BULLISH,neutral,0,14.03179953,9.88304712
2025-09-06 09:41:45 EEST,2025-09-06 09:41:50 EEST,BUY,ETHUSDT,0.0023,4307.4,9.90702,8.65E-06,success,35453877905,55.31272507,BULLISH,neutral,0,4.12602153,0
2025-09-06 07:05:18 EEST,2025-09-06 07:05:19 EEST,SELL,BNBUSDT,0.011,859.8,9.4578,8.25E-06,success,8890796895,74.22575378,BULLISH,neutral,0,14.03304153,9.349131149
2025-09-06 06:34:09 EEST,2025-09-06 06:34:09 EEST,BUY,ETHUSDT,0.0023,4318.55,9.932665,8.66E-06,success,35451353291,49.88838959,BULLISH,neutral,0,4.57524153,0
